1950	151868000
1951	153982000
1952	156393000
1953	158956000
1954	161884000
1955	165069000
1956	168088000
1957	171187000
1958	174149000
1959	177135000
1960	179979000
1961	182992000
1962	185771000
1963	188483000
1964	191141000
1965	193526000
1966	195576000
1967	197457000
1968	199399000
1969	201385000
1970	203984000
1971	206827000
1972	209284000
1973	211357000
1974	213342000
1975	215465000
1976	217563000
1977	219760000
1978	222095000
1979	224567000
1980	227225000
1981	229466000
1982	231664000
1983	233792000
1984	235825000
1985	237924000
1986	240133000
1987	242289000
1988	244499000
1989	246819000
1990	249623000
